43897264	00000000	00000000	430f357e	41cd6b84	40f922a6	42ef24eb	00000000
4391d7b8	00000000	00000000	430cf0c4	40d4deb9	00000000	42d2e741	00000000
438fb7a3	00000000	00000000	431e8660	41020055	00000000	42d80e47	00000000
4379894e	00000000	00000000	4349e168	40bad2de	4129daf8	43051bb1	00000000
43711692	00000000	00000000	4346beed	40f5d0c7	412b27e2	4318182f	00000000
43832ccb	00000000	00000000	433b1aa5	40ed6229	00000000	430e63bb	00000000
4380c30e	00000000	00000000	43438c6c	00000000	4054cee2	42aa0001	00000000
4357065c	00000000	00000000	4348dbfa	00000000	00000000	42027214	00000000
434815ec	00000000	00000000	436294f1	00000000	00000000	42955308	00000000
437891e8	00000000	00000000	43526585	00000000	4262ba98	431f7be4	00000000
438e1b14	00000000	00000000	42ed99c3	429272e7	42861099	431cfb9c	00000000
4377228c	00000000	00000000	433e4756	4127c236	00000000	42ed54fe	00000000
435a4b72	00000000	00000000	43438dee	00000000	00000000	42a9f752	00000000
4355fc7e	00000000	00000000	435bd5be	00000000	00000000	42dd1456	00000000
435123c2	00000000	00000000	4346982a	00000000	00000000	42583259	00000000
431f0221	00000000	00000000	436d84cc	00000000	00000000	424311e6	00000000
432c440f	00000000	00000000	435bf215	00000000	00000000	42887572	00000000
4332d340	00000000	00000000	43429f0e	00000000	00000000	42252e1c	00000000
43173228	00000000	00000000	4351073c	00000000	00000000	41ccff6f	00000000
430b857c	00000000	00000000	43567f93	00000000	00000000	41d7400a	00000000
43012b52	00000000	00000000	4352a908	00000000	00000000	41caa214	00000000
42d14ca8	00000000	00000000	43576d78	00000000	00000000	41ce77cb	00000000
42975d8f	00000000	00000000	43600a95	00000000	00000000	421d6235	00000000
4284ed0c	00000000	00000000	4355c878	00000000	00000000	41c61fc9	00000000
42c3bdc1	00000000	00000000	43374fa4	00000000	00000000	418e798f	00000000
42d8fa59	00000000	00000000	42a1f20d	423a158a	00000000	427ea39e	00000000
00000000	00000000	00000000	437b3972	00000000	00000000	42cebfbd	00000000
00000000	00000000	41f44c80	43a57307	00000000	00000000	42d3c767	00000000
